       x               Bx            y              By             z           Bz       gamma          ID
  1.67187629E-02 -5.79038680E-03  1.55821683E-02 -4.20268101E-03  0.00000000E+00  5.42288322E-01  1.19024664E+00  1.20000000E+02
  1.39449243E-02  7.14335809E-03  9.29202414E-03  9.23914950E-03  0.00000000E+00  5.33712161E-01  1.18261244E+00  1.21000000E+02
 -1.38929108E-02  9.78880122E-03  1.08154357E-02 -1.26686484E-04  0.00000000E+00  5.37196428E-01  1.18567652E+00  1.22000000E+02
  1.72500846E-02 -1.01246266E-02  1.40774855E-03 -5.97375724E-03  0.00000000E+00  5.61907648E-01  1.20901962E+00  1.23000000E+02
 -1.84936575E-02  7.01481327E-03  5.70876843E-03 -4.82727399E-03  0.00000000E+00  5.33978518E-01  1.18279484E+00  1.24000000E+02
  2.86448983E-03 -8.53373871E-03  1.74766051E-02 -4.94496790E-03  0.00000000E+00  5.57103486E-01  1.20426139E+00  1.25000000E+02
  1.56428322E-02  7.23317680E-03 -8.52357439E-03  5.04660627E-03  0.00000000E+00  5.26980459E-01  1.17670367E+00  1.26000000E+02
 -1.46359821E-02 -8.16721230E-04 -2.08256032E-03 -3.98314631E-03  0.00000000E+00  5.43934345E-01  1.19172761E+00  1.27000000E+02
  2.30371457E-03  6.45255613E-03  4.13499767E-03  1.04931127E-03  0.00000000E+00  5.64489285E-01  1.21151251E+00  1.28000000E+02
  1.83986572E-02  1.01847083E-03 -6.50572084E-03  8.92310686E-03  0.00000000E+00  5.34603308E-01  1.18335436E+00  1.29000000E+02
 -3.00385155E-03 -7.94252927E-03 -8.63310829E-03  2.30148362E-04  0.00000000E+00  5.66134845E-01  1.21318831E+00  1.30000000E+02
 -7.30066732E-03 -9.17566938E-03 -5.54891934E-03 -7.56110645E-03  0.00000000E+00  5.33479155E-01  1.18241096E+00  1.31000000E+02
 -9.75395357E-04 -8.24099810E-05 -8.70383115E-03 -8.73820553E-03  0.00000000E+00  5.64466940E-01  1.21151997E+00  1.32000000E+02
 -3.53598736E-04  7.08576107E-03 -1.60793637E-02 -8.74030211E-03  0.00000000E+00  5.48899496E-01  1.19644041E+00  1.33000000E+02
  1.20480584E-02  4.22262794E-03  1.78670043E-02 -9.56240235E-03  0.00000000E+00  5.44865425E-01  1.19266509E+00  1.34000000E+02
 -1.85809933E-02  9.54162362E-03  1.13249493E-02 -4.32926659E-03  0.00000000E+00  5.60074349E-01  1.20718116E+00  1.35000000E+02
  4.34857450E-03 -8.24163182E-04 -1.98296491E-02  5.98283793E-03  0.00000000E+00  5.39249206E-01  1.18747275E+00  1.36000000E+02
  1.02051889E-02 -2.71651884E-03 -3.47778173E-03 -3.38077510E-03  0.00000000E+00  5.52176584E-01  1.19944935E+00  1.37000000E+02
 -1.41239245E-02 -9.50530081E-03 -1.54238000E-02 -9.35344260E-03  0.00000000E+00  5.26394172E-01  1.17628229E+00  1.38000000E+02
  1.69309070E-02 -5.97755384E-03 -1.19405523E-02  1.11464840E-02  0.00000000E+00  5.65900665E-01  1.21303811E+00  1.39000000E+02
 -5.78202974E-03 -1.06467949E-02  1.28211697E-02 -1.53887183E-03  0.00000000E+00  5.32443936E-01  1.18147879E+00  1.40000000E+02
 -1.55010668E-02  1.05699016E-02  1.25516335E-03  7.65943614E-03  0.00000000E+00  5.53680140E-01  1.20101782E+00  1.41000000E+02
 -3.85607948E-03 -8.54013944E-03 -3.75331665E-03  7.93109465E-03  0.00000000E+00  5.56103350E-01  1.20332393E+00  1.42000000E+02
  1.29799053E-02 -1.07252334E-02  1.53720842E-04  5.39569195E-03  0.00000000E+00  5.38216049E-01  1.18663180E+00  1.43000000E+02
 -9.73801641E-03  6.01245171E-03  1.43535841E-03  7.50624702E-04  0.00000000E+00  5.37671096E-01  1.18605264E+00  1.44000000E+02
 -1.16588386E-02 -2.39361742E-03 -9.52485740E-03  4.29928250E-03  0.00000000E+00  5.67481054E-01  1.21451823E+00  1.45000000E+02
  1.25634825E-02 -5.54142606E-03 -1.40003253E-02 -2.34659540E-03  0.00000000E+00  5.41717291E-01  1.18971250E+00  1.46000000E+02
  6.25913602E-03  4.30081288E-03 -1.70881742E-02  2.46914506E-03  0.00000000E+00  5.33204373E-01  1.18207232E+00  1.47000000E+02
  1.91972088E-02  1.61882838E-03 -4.29139445E-03  3.33119747E-03  0.00000000E+00  5.30536108E-01  1.17972629E+00  1.48000000E+02
  1.60541617E-02 -1.70981344E-03  1.76899421E-02 -1.03469648E-02  0.00000000E+00  5.52592244E-01  1.19992451E+00  1.49000000E+02
 -1.00843224E-02 -4.26418369E-03  8.08712394E-03 -2.83543415E-03  0.00000000E+00  5.27692410E-01  1.17727377E+00  1.50000000E+02
 -1.80807658E-02  3.48963385E-03  1.72989016E-02  5.57378470E-03  0.00000000E+00  5.35210835E-01  1.18386219E+00  1.51000000E+02
  1.16362108E-02 -8.16641715E-03 -4.86711411E-03 -9.27477078E-03  0.00000000E+00  5.29995062E-01  1.17936951E+00  1.52000000E+02
  1.19137038E-02  6.48612888E-03 -5.72931489E-03  6.51265677E-03  0.00000000E+00  5.66544644E-01  1.21362201E+00  1.53000000E+02
  1.14164730E-02  1.01064910E-02 -1.26623907E-02 -4.59776341E-03  0.00000000E+00  5.53690018E-01  1.20098649E+00  1.54000000E+02
 -4.28926390E-03  2.93243976E-03  9.97154292E-03 -9.37704857E-03  0.00000000E+00  5.53150132E-01  1.20044611E+00  1.55000000E+02
  3.25062840E-03  9.99682933E-05 -6.08618527E-04 -8.78508394E-03  0.00000000E+00  5.53955938E-01  1.20120174E+00  1.56000000E+02
 -1.40574809E-02 -5.30859146E-04  3.69462750E-03 -5.20399092E-03  0.00000000E+00  5.40287515E-01  1.18840466E+00  1.57000000E+02
 -1.83463740E-02  3.34112191E-03  1.90789370E-02  4.28638925E-03  0.00000000E+00  5.46344362E-01  1.19396853E+00  1.58000000E+02
 -1.36401383E-02  5.90269396E-03 -1.30852971E-02 -1.01448579E-02  0.00000000E+00  5.28410587E-01  1.17798420E+00  1.59000000E+02
 -3.68142919E-03  1.01389161E-02  6.16592173E-03 -1.86445885E-03  0.00000000E+00  5.66198850E-01  1.21329154E+00  1.60000000E+02
 -5.37196868E-04  1.50942931E-03 -1.61179405E-02 -7.69478187E-03  0.00000000E+00  5.63982820E-01  1.21102133E+00  1.61000000E+02
 -4.96773115E-04 -1.39828743E-03 -1.82113456E-02 -9.65711831E-04  0.00000000E+00  5.42441013E-01  1.19034557E+00  1.62000000E+02
 -1.74918379E-02 -8.43748297E-03 -1.08319351E-02 -4.34046755E-03  0.00000000E+00  5.66018581E-01  1.21309481E+00  1.63000000E+02
 -1.16303743E-04  1.14916050E-03 -1.82298602E-03  6.43907012E-03  0.00000000E+00  5.26826037E-01  1.17654261E+00  1.64000000E+02
 -1.37536925E-02  5.40628210E-03 -1.07335054E-02 -2.89989498E-03  0.00000000E+00  5.39812717E-01  1.18798314E+00  1.65000000E+02
  6.68863392E-03 -4.63656569E-03  3.59040391E-03  8.56198140E-03  0.00000000E+00  5.49586722E-01  1.19706012E+00  1.66000000E+02
 -1.39641210E-02  4.86297537E-03  1.59743151E-02 -7.14335442E-03  0.00000000E+00  5.31206615E-01  1.18036128E+00  1.67000000E+02
  4.53189699E-03  9.63900231E-03  1.44854354E-02  8.21374226E-03  0.00000000E+00  5.60221629E-01  1.20737083E+00  1.68000000E+02
  4.02810560E-03 -8.90716863E-03  9.33188199E-03 -2.74554409E-03  0.00000000E+00  5.43669976E-01  1.19154386E+00  1.69000000E+02
 -8.13068708E-03  4.29902411E-03 -9.22287910E-03  3.30778770E-03  0.00000000E+00  5.64586618E-01  1.21159839E+00  1.70000000E+02
  6.76176518E-03 -5.13428382E-03  1.89172759E-02  1.05730940E-02  0.00000000E+00  5.30400151E-01  1.17971003E+00  1.71000000E+02
 -8.02944128E-03 -6.22364953E-03  1.27735077E-02 -7.35478600E-03  0.00000000E+00  5.53621370E-01  1.20089428E+00  1.72000000E+02
 -1.65494003E-02  8.86685513E-05 -1.47591629E-02  2.96350151E-03  0.00000000E+00  5.31423269E-01  1.18049644E+00  1.73000000E+02
  1.67113612E-02  5.28421062E-03 -2.09351851E-04  1.36717266E-03  0.00000000E+00  5.44961263E-01  1.19268627E+00  1.74000000E+02
  4.43717141E-03 -1.94812636E-03 -1.10870689E-02  7.17645922E-03  0.00000000E+00  5.39638259E-01  1.18784010E+00  1.75000000E+02
 -1.69823607E-02  5.02579415E-03  1.59790267E-02 -7.96222611E-03  0.00000000E+00  5.46938640E-01  1.19457223E+00  1.76000000E+02
 -1.61710201E-02 -1.03682539E-02 -1.83861294E-02  8.02989695E-03  0.00000000E+00  5.32668340E-01  1.18172235E+00  1.77000000E+02
  7.30780400E-03 -4.66302004E-03  1.94150674E-02 -9.44924523E-03  0.00000000E+00  5.61693635E-01  1.20878321E+00  1.78000000E+02
 -6.22196471E-04  1.00493997E-02 -5.94653732E-03  1.04263102E-02  0.00000000E+00  5.47801690E-01  1.19548173E+00  1.79000000E+02
  1.51377147E-02 -5.67410734E-03  1.83385961E-02 -9.64645084E-03  0.00000000E+00  5.49999621E-01  1.19747584E+00  1.80000000E+02
 -1.33737253E-02 -6.57836069E-03 -1.40887811E-02 -6.83702871E-03  0.00000000E+00  5.51711055E-01  1.19906758E+00  1.81000000E+02
  7.40251635E-03 -4.45092459E-03 -6.44480117E-03 -1.06862165E-02  0.00000000E+00  5.53181128E-01  1.20050819E+00  1.82000000E+02
 -1.07896414E-02  7.16282870E-03  1.82248808E-02  8.31654321E-03  0.00000000E+00  5.34696475E-01  1.18346990E+00  1.83000000E+02
  1.55933757E-02  1.03657802E-02  5.06236017E-03 -6.32340815E-03  0.00000000E+00  5.30676357E-01  1.17995832E+00  1.84000000E+02
  1.90338914E-02 -1.16519558E-03 -4.30207377E-03 -8.34836756E-03  0.00000000E+00  5.32823763E-01  1.18177572E+00  1.85000000E+02
